tweet,label_original,pred_v2,score_humor,error,tipo_error,label_correcto
"¿Eliminar a mis tías del Facebook? JAMÁS, esas señoras son las únicas que comentan «qué guapo» en mis fotos. Las quiero mucho.",1,0,0.1826171875,True,FN,1
Quien no se secó el pelo y ahora parece caniche? 🙆🙆,1,0,0.3203125,True,FN,1
"Hice en Twitter lo que vos con tu ex, volví.",1,0,0.3203125,True,FN,1
"Mavez maque mafa masil maes maco majer mate made mapen madejo...""ahora leelo si el ma"" #RT",1,0,0.376953125,True,FN,0
"Nunca he ido al 2x1 del cine

MENTIRAS DE POBRES",1,0,0.408203125,True,FN,1
Mi hijo me dice:Mom prestame el libro d Avon...y ahora lo mange viendo las modelos en interiores...,0,1,0.95703125,True,FP,0
"Me comí cuatro milanesas en diez minutos, si sigo así voy a terminar añadiendo cintos y vistiéndome con una cortina.",0,1,0.953125,True,FP,1
2 amigos -Ayer me encontraba tan mal que decidí suicidarme tomando 1000 aspirinas -Y qué pasó? -Me tomé la segunda y ya me encontraba mejor,0,1,0.953125,True,FP,1
"#TIPICO llamas a tu mama para que vea una foto en la computadora, y despues de verla se queda ahí y le dices -ya Mama ya puedes irte #RT",0,1,0.9453125,True,FP,1
Ese mini-infarto que te da cuando le muestras a alguien una foto en tu celular y esa persona empieza a mirar las siguientes,0,1,0.94140625,True,FP,1
Típica conversación de Skype: -¿Alo? -¿Me oyes? -No oigo nada! -¿Alo? -¿Hola? -¿Estás ahí? - Voy a colgar y vuelvo a llamar... - ¿Alo?,0,1,0.93359375,True,FP,1
"Lo bueno de tomar pastillas para dormir, es que no sientes los temblores!!",0,1,0.92578125,True,FP,0
"@SnoopAlb Hola tio, me he quedado sin batería en el móvil y no se como se mandan MD... Me puedes pasar el ejercicio de Rams por Drive? Thx",0,1,0.89453125,True,FP,0
Harry potter y el misterio de qué hago despierto a esta hora.,0,1,0.87890625,True,FP,0
"Miras atrás GOL DE CHILE
Miras a la izquierda GOL DE CHILE
Miras a la derecha GOL
Miras abajo GOL 
Miras arriba GOL
Lloras GOL DE CHILE",0,1,0.87890625,True,FP,0
"— Me molesta tu cigarro.

— ¿Qué te dijo o qué?",0,1,0.8515625,True,FP,1
Tan creida y le saco las mismas tetas al papá #xD,0,1,0.8515625,True,FP,0
¿140 caracteres? Yo sólo necesito 10: Me encantas.,0,1,0.8359375,True,FP,0
"“Y vivieron felices por siempre”.

Pero no juntos.",0,1,0.8359375,True,FP,0
"""Tengo hambre"" — Yo a cada rato.",0,1,0.8359375,True,FP,0
Qué feo se ha de sentir ser Moreno y que cuando se bloquee la pantalla de tu celular no poder ver tu reflejo.,0,1,0.81640625,True,FP,0
"Eres una droga natural, de tu dosis yo quiero probar...🎶",0,1,0.81640625,True,FP,0
"Tú. Yo. Nadando. 
En el océano. Solos.  
Un tiburón te arranca la pierna.
Luego la otra.  
Piénsalo.",0,1,0.81640625,True,FP,1
"-Pará, te enojas por todo.
-Debe ser porque la cagas todo el tiempo, pedacito de decepción.",0,1,0.77734375,True,FP,1
"Me duele haber corrido para no llegar, ahora sé que el camino es la meta también.",0,1,0.77734375,True,FP,0
"En mi casa ya te pusieron apodo.

No la vayas a cagar.",0,1,0.77734375,True,FP,1
"— ¿Te gusta el rock?
{\__/}
( • ͜ •)
/つ🎧 

— Prefiero más el reguetón.
{\__/}
( •⌒•)
/つ💔",0,1,0.75390625,True,FP,1
Debajo de toda ésta ropa estoy desnudo te amo casate conmigo.,0,1,0.75390625,True,FP,0
"Comer poco puede engordar. Come 5 veces al día, pero saludable",0,1,0.75390625,True,FP,0
¿Algún día seré tan bella como dua lipa? La respuesta es mmmmno.,0,1,0.75390625,True,FP,1
Estar despierto toda la noche…lamentarlo toda la mañana…y volver hacerlo de nuevo el próximo día xD,0,1,0.75390625,True,FP,1
Tienes cara de que fuiste a escuela pública y que escribes “Jalowin” no me hables.,0,1,0.75390625,True,FP,1
"Dicen que soy súper hacker y NO, cuando era chiquita era TURBO hacker.🤓",0,1,0.75390625,True,FP,0
Me está dando un calambre en la entrepierna y no tardo en ponerme bien Boku no Pico.,0,1,0.73046875,True,FP,1
"—¿Cogemos?
—¿Qué te pasa, pendejo?
—Eso es un ¿no?
—Claro que no, estúpido.
—Equis, como si fueras la primera vieja que le pido las nalgas.",0,1,0.73046875,True,FP,0
"""O sea, no es Maluma pero tampoco es Bad Bunny."" #RankeandoBatosEnLaOficina",0,1,0.73046875,True,FP,1
Típico: Decirle a un niño que su dibujo es muy lindo y luego preguntar qué es.,0,1,0.73046875,True,FP,0
Cumi cumi cumi cumi,0,1,0.73046875,True,FP,0
"Que triste que tengas que pelearte con los maestros para una buena calificación para tu hijo, porque él solo no puede sacar ni un 6.",0,1,0.73046875,True,FP,0
"¿Dedicarte tweets? JAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAAJAJAJAJAJA Espero estés leyendo esto, te quiero mucho.",0,1,0.73046875,True,FP,1
necesito más del poder del amor que me da seventeen para aprobar química ah,0,1,0.73046875,True,FP,0
"“Infrastructructchur”.

-Inés Sainz.",0,1,0.70703125,True,FP,1
Recuerdo que los besos eran el motor de arranque.,0,1,0.70703125,True,FP,0
México era un mejor país cuando los churrumais y los cheetos costaban 3 pesos.,0,1,0.70703125,True,FP,0
"Mi última conexión de WhatsApp es para ver tu última conexión. 

Así de simple.
Así de sencillo.
Así de romántico.
Así de pendejo.",0,1,0.70703125,True,FP,1
Le temo al #Viernes13 porque quiero salir a chingar y no tengo pisto.,0,1,0.70703125,True,FP,0
"Que te insulte un amigo y decir ""gracias yo también te quiero"".",0,1,0.70703125,True,FP,1
