text,label
"En los cuentos de Disney el ""Y fueron felices para siempre."" nunca explica si fueron juntos o por separado.",1
Típico: mirar el celular cuando no quieres saludar a alguien,0
"—¡¿Me estas engañando con otra?! —Obvio que no, amor. —¡¿Y ESE CALZÓN ROJO EN TU COCHE?! —Está bien, tengo que confesarlo...¡SOY SUPERMAN!",1
"Esas mujeres que dicen ""soy fea"" para atraer atención.",0
Esta no estaría siendo la mejor semana de Rogelio Frigerio,0
"Mi ex etiqueto a su nuevo novio en un meme y el le contesto “no entendí”, todo en esta vida se paga.",0
"¿Qué onda bebé, cenamos en mi casa el #14DeFebrero?  Yo disparo. 

Oscar Pistorius.",1
"Debe ser re incómodo esas chicas que ponen tweets sobre sexo y les responden puros manes x que tiene de foto de perfil un pene, qué paila",0
"-Mira mamá, ¡estoy en la tele! -No seas estúpida, ¡préndela! - :(",1
"Me compré un sillón !! 
Futón Futón",1
Había necesidad de poner la fecha del final un día después de mi cumpleaños? Hdps,0
"—¿ultimas palabras antes de ser ejecutado? —AntES DeE CrITiCAaRmEe iNteEnTa SsuPeRarMe — después de ejecutarlo, ¡ QUÉMENLO!",1
"Se siente bien cuando la gente negativa se aleja, es como si la basura se sacara sola.",0
"#NombresDePerro: ""Sin Calzones"" Para que cuando muerda a alguien yo le grite: ""Déjalo Sin Calzones"" y reír mil!!!",1
"1ra escena: George Michael, 2da: Juan Gabriel, 3ra Ricky Martin, ¿cómo se llama la obra? Los ex-men.",1
"#LunesIntratable cada vez que hay movilización y escucho los bombos me da taquicardia, ya odio el carnaval culpa de éstos 💩.",0
#MaestroMemorable El maestro Yoda y El maestro Roshi,0
"—Bebé, anoche soñé contigo, fue hermoso.
—Ah.
—EN MI SUEÑO NO ERAS CORTANTE, PERRA DE MIERDA.
—¿QUÉ?
—Perdón princesa, me alteré.",1
"El consuelo está en divertirse, no en arrepentirse.",0
De tu mano caminaré toda la vida💜,0
"""Segui tu camino y que nadie te pare""",0
Me iré a dormir buenas noches a todxs ♡♥♡♥♡♥♡,0
"-¿Haz oído el chiste que no se le cuenta a los gays? -No, no lo he oído. - EXACTO!!! by @ItsTheWTFGirl #fb",1
Desde que no tengo celular me encuentro hablando con gente en la calle o sola en la parada.,0
"naa mak donal saco amorfoda version cumbia, que chabon del bien jajajaja",0
"Creo que mi habitación es un lugar santo, cada vez que mi mamá entra dice: ¡Díos mío!",1
Uuuuu parece que tengo a la banda subida al balcón que se termine xfa,0
Lpm brisa rompe pija déjame ver la serie,0
"Mi América lleva 5 años en la B en un acto de altruismo, para darle oportunidad al resto de equipuchos de cagada. Cuánta humildad. #respect",1
"Las casualidades no existen, todo pasa por algo.",0
"—ABUELO, ¿este vestido amarillo me hace ver gorda? 

—¡¡SUPUTAMADRE!! ¡¡PAC-MAN ENTRÓ A LA CASA!! ¡¡CORRAN TODOS!! ¡¡NOS QUIERE COMER!!",1
El masaje sirve para adelgazar... al masajista. #fb,1
Cada día es perfecto para empezar lo que siempre has querido. Las cosas no llegan solas ¡Haz que las cosas pasen!,0
Oigan nos la pasamos presumiendo que seguimos siendo emo como si fuera algo de lo que estar bien orgullosos 😂 qué oso.,0
Hoy estaba en la calle con la pulsera lgbt y paso un pibe con la misma pulsera y me sonrio fue re AMIWIS,0
Bueno me voy a casa y cuando llegue me pongo a mirar anime,0
"Típico: Te pones los audífonos, te hablan, y tu solo sonríes y dices que ""si""",0
"Vivo con el miedo de entrar a un baño para discapacitados, que llegue un discapacitado y me arme un desmadre por usar su baño.",1
#LaVozKids1  con @MelendiOficial  da otro color!! 😚😚,0
Sos más lento que la justicia,0
"“Las mejores cosas tardan en llegar.”

—Yo llegando tarde a todos lados.",1
Kiennn me cose ma bocaa,0
Estoy expandiendo mi mundo...en el último año le subí una talla al pantalón.,1
"-¡Voy a ser papá! -Enserio?, felicidades, y tu esposa como esta?, feliz? -Si, pero cuando se entere me va a matar :S",1
"—Doctor... doctor... ¡AYUDEME! me quedan 60 segundos de vida, ¿qué hago? ... —Déme un minuto ya lo atiendo.",1
No trates como iPhone a quien te trata como Blackberry.,1
Nunca sabes lo que tenes hasta que llega tu madre y te dice: ¿esto te sirve o lo tiro?,1
Ese pequeño baile con los pulgares que se hace cuando usted no sabe cómo responder a un texto de alguien.,0
Que paja no poder sacarte a alguien de la cabeza y vivir pensando en esa persona a pesar de que te haga bosta,0
Esta haciendo 8 meses mi princesa hoy ?,0
"¿Cómo se dice niño huérfano en chino?
- Chin chu papi chin chu mami.",1
❤Hilo de frases de poemas que me gustan❤,0
"Habia una vez una mujer tan pero tan gorda, que para bañarse enjabonaba las paredes y se ponia a dar vueltas #CHISTE VIA @Blasignacio",1
"—¡Mesero!

—Dígame, joven.

—Ésta comida no sirve, sólo consiguió 5 likes en Instagram.",1
"Si hay que dormir se duerme. Y si hay que estudiar, se duerme.",1
"— Profe, en el salón hay un gay  
— ¿Y cómo lo sabe, Carlitos?  
— Porque se robó mi esmalte de uñas y mi brillo labial",1
Yo Pongo Las Reglas ?,0
Tú fuiste mi más grande pérdida.. ...de tiempo #LOL,0
"La pregunta de “¿Tú y yo, que somos?”. Es una notificación que el mes gratis de sexo se acabó. Ahora tienes que decidir si suscribirte o no.",1
"La duda existencial de mi prima
¿Qué se lame  primero, el huevo o la gallina?",1
"Te quiero pero como amigos. ¿Comes amigos? Jaja, no, tú y yo. ¿Tú y yo comemos amigos? ¡Que seamos amigos! ¿¿Y nos comemos?? ¡¡NO!NO!",1
FUTBOL: 22 jugadores necesitando descansar y millones de espectadores necesitando hacer ejercicio... via @hadacon,1
00:01 @dosogas por siempre 🌈💖,0
"Y si vamos juntos a ver a DNCE 
#PorElSmazingEnInfinitum",0
¿Te gustaría ser mi novia? A) Parpadea para un SI. B) Haz un mortal hacia atrás con triple giro invertido si tu respuesta es un NO.,1
Ser tonto nivel: Hacerle fotocopias a los folios en blanco para tener más.,0
#SiPudieraPedirUnDeseoSería que el chocolate No engorde→ fumar No mate → el alcohol No hiciera daño a la salud y enamorarse No doliera.,1
#ReBuenHumorHastaQue me acuerdo de la final del mundial,1
"Lástima por Casillas, no has podido celebrar las paradas de Valdés. #culé #disfrazado",0
"#SabesQueTeGustaCuando quieres ser el ""asdf"" de su ""ghjklñ"" para juntos formar un ""asdfghjklñ"" con ''asdfghjklñsitos"".",0
Algún día les voy a tener que decir a mis contactos de whatsapp que no veo ningún video que me mandan.,0
"#OjalaPagaranPor Dormir y tuitear, todo sería más fácil y no tendría que estudiar ni madrugar.",1
Sácate la cucaracha que ando bien Raid,1
"Al chile se siente bien feo traer diarrea, de esa que parece llave del patio ???

❤️ si te vale madres.",0
Que duerman bien en Pinto Duran mis amores,0
Que van a saber de tristeza si no han querido comprar un libro y no pueden porque está muy caro:(,0
Insomnio la recalcada concha de tu vieja,0
"Un caníbal va en un avión, y le pregunta la azafata:
- ¿Le traigo el menú?
- No, mejor tráigame la lista de los p...",1
Me acaban de rtw un tw del 2015 q miedo,0
"Si me sigo quejando,mas me pasara Dios por las lecciones de las cuales me estoy quejando.Si pides paciencia,estas pidiendo pruebas.#Apuntalo",0
"Es inevitable mirar cuando te dicen ""No mires"" :)",0
"Dos amigas:
-¿Y quien tuvo la culpa de tu separación?
-Evidentemente mi marido que volvió dos días antes del viaj...",1
"Papá al hijo: -Mijo, venga, dele un besito al que le dio la vida... -Uyyy no papi, mejor en la mejilla! #fb",1
"Prefiero mil veces un millón de amistadas a una relación, la verdad.",0
Que bonitos días de descanso,0
"Fin del""drama terrorista de Boston""alguien se acuerda del armamento nuclear de NorthCorea?O de la explosion en Waco Texas?NO? A pues cool.",0
u todes se cansan de mí y si soy tremenda pelotuda,0
"Todo en exceso es malo, excepto la vacaciones, eso no.",1
Cierta fanbase no deja de aparecer en mi TL y mira me he dado cuenta del asco que les tengo lmao,0
"Oh, miren una persona inalcanzable y que ni siquiera nota mi presencia. 

*Se enamora*",1
"Paris Hilton dice a una amiga: -Mira, Lady Gaga me mandó este refri -Ah, si? Y tu cómo sabes? -Pues aquí dice LG! by @habibland #fb",1
El insocnio,0
No me gusta nada Eduardo !!!! Esos comentarios que hace están fuera de lugar #MaestrosDeLaCostura,0
"Va un clic por la calle, de repente para y empieza a tocarse por todos lados, y dice: HP vote los papeles #xD",1
"—Ayer cogí.

—¿En serio? ¿Con quién?

—¿Recuerdas a las dos chicas que llegaron a tu fiesta en minifalda?

—Sí.

—Pues me cogí a tu novia.",1
"Y pensar,  que una vez me dijiste
Terminemos todo, 
Mi vida es un desastre 
Y no te quiero en él?",0
"El marido agonizante
-María, promete que cuando me muera te casaras con Antonio.
-Pero si es tu peor enemigo -Pues por eso! que se joda #xD",1
"#Grupo4IOT Una ""apisonadora jurídica"" fiel a su moral",0
Venga morros #MexasEnRusia,0
?.-~*(?EL Divo00 d3 Tw1tTeR!!! ? A L4 K3 nh0 Ku1d4 Zu BoMb0n Z3 l3 ZuV3n L4z OrM1G4Zzz ?? )-~.?Ha iniciado sesión.,0
"—Me gustas. —Ok, cualquier cosa, yo te aviso.",1
Nombre: Teléfono fijo. Función: Ayudar a encontrar mi celular cuando se me pierde.,1
Guayabo tan 70jijijj,0
"Irónico: En las mañanas: ""5 minutos más y me levanto"". En las noches: ""5 minutos más y me duermo"".",0
"Marica un compañero me abrazo y yo quede loca, entonces de una lo empuje, yo no me dejo dar amor ven",0
Ejercicios para casa: 1+2+1=4.,0
"“Cerrando muchos ciclos en mi vida”

UY CALMATE LAVADORA ¿QUÉ MARCA ERES? ¿LG O WHIRLPOOL?",1
"- Como te puedo hacer feliz en la cama? 
- No me despiertes!

**Todas las mujeres**",1
Si Las Indirecta Mataran Ya Seria Un Asesino En Serie HAHAHAHAHH!,0
"No sé ustedes como tienen una foto de perfil para cada red social, yo me tomo una donde salgo bien y la dejo 4 años en todas las redes.",1
"—¡A UNA MUJER JAMÁS SE LE LEVANTA LA MANO!
—Pero maestra, dijo que si teníamos dudas levantáram...
—MALDITO CERDO OPRESOR ¡VIVA LA PANOCHA!",1
ojala algun dia vuelva a conocer a alguien como vos! pero que se enamore de mi?,0
"Un día voy a entrar a tu casa y romperé todos los espejos, para que sientas lo feo que es no poder verte todos los días.",0
"No se que me esta pasando,Una especie de Bloqueo? E querido dibujar pero termino el boceto y tiro el dibujo...No se que me pasa...",0
Andá a cagar.,0
"Ayer quería una pizza. Hoy me la estoy comiendo.

Lucha por tus sueños.",1
Q SONO !,0
Fijo hay personas que dan FOLLOW solo por que son sexys. ¿Les ha pasado?¿,0
No hay nada mas rico cuando estás acostado en la cama que voltear la almohada y que este fría.,0
1 fracaso,0
"Lo que es común hoy para ti (2018), las personas de hace 100 años se sorprenderían, al ver las cosas que hoy tenemos con más facilidad.",0
